City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2021-11-23 03:29:21,-21.2,-175.2,84.36,79,40,5.75
1,Cape Town,ZA,2021-11-23 03:30:03,-33.9258,18.4232,63.1,70,0,19.57
2,New Norfolk,AU,2021-11-23 03:34:14,-42.7826,147.0587,74.91,40,100,1.99
3,Yellowknife,CA,2021-11-23 03:31:18,62.456,-114.3525,-8.59,77,40,3.0
4,Mongo,TD,2021-11-23 03:34:14,12.1844,18.693,74.98,24,100,4.63
5,Samarai,PG,2021-11-23 03:34:15,-10.6167,150.6667,85.95,70,18,15.9
6,Nikolskoye,RU,2021-11-23 03:34:15,59.7035,30.7861,27.81,96,100,5.41
7,Vila Velha,BR,2021-11-23 03:31:48,-20.3297,-40.2925,69.75,88,75,1.01
8,Castro,BR,2021-11-23 03:34:16,-24.7911,-50.0119,61.68,61,52,2.46
9,Albany,US,2021-11-23 03:30:09,42.6001,-73.9662,33.1,73,20,1.99
10,Zyryanka,RU,2021-11-23 03:34:16,65.75,150.85,-24.09,98,98,5.1
11,Saldanha,ZA,2021-11-23 03:34:17,-33.0117,17.9442,57.25,81,2,13.69
12,Thompson,CA,2021-11-23 03:34:17,55.7435,-97.8558,-0.24,71,75,2.3
13,Bethel,US,2021-11-23 03:34:18,41.3712,-73.414,38.05,61,1,1.01
14,Aklavik,CA,2021-11-23 03:34:18,68.2191,-135.0107,-13.97,95,100,7.74
15,Port Elizabeth,ZA,2021-11-23 03:34:18,-33.918,25.5701,62.89,82,90,12.66
16,Ushuaia,AR,2021-11-23 03:30:50,-54.8,-68.3,28.92,94,93,3.15
17,Hobart,AU,2021-11-23 03:29:33,-42.8794,147.3294,75.27,52,75,9.22
18,Araouane,ML,2021-11-23 03:34:19,18.9048,-3.5265,75.56,31,99,7.56
19,Busselton,AU,2021-11-23 03:34:19,-33.65,115.3333,71.15,42,0,10.04
20,Clyde River,CA,2021-11-23 03:34:20,70.4692,-68.5914,16.03,86,100,17.27
21,Grimma,DE,2021-11-23 03:34:20,51.2333,12.7167,32.43,93,7,8.68
22,Lavrentiya,RU,2021-11-23 03:33:10,65.5833,-171.0,-2.47,93,8,10.29
23,Rikitea,PF,2021-11-23 03:34:21,-23.1203,-134.9692,75.9,76,1,11.36
24,Kodiak,US,2021-11-23 03:31:37,57.79,-152.4072,17.11,53,1,6.91
25,Bulgan,MN,2021-11-23 03:34:21,48.8125,103.5347,21.51,47,71,2.42
26,Mayo,US,2021-11-23 03:34:21,38.8876,-76.5119,40.28,54,73,8.01
27,Butaritari,KI,2021-11-23 03:34:22,3.0707,172.7902,82.26,77,20,11.61
28,Kapaa,US,2021-11-23 03:34:22,22.0752,-159.319,80.58,77,90,1.01
29,Sao Filipe,CV,2021-11-23 03:34:23,14.8961,-24.4956,80.1,63,0,7.9
30,Labuhan,ID,2021-11-23 03:34:23,-6.8844,112.2051,87.24,62,89,4.36
31,Kozhevnikovo,RU,2021-11-23 03:34:23,56.2589,83.9714,31.24,96,100,12.01
32,Enshi,CN,2021-11-23 03:34:24,30.3,109.4833,56.32,57,100,0.72
33,Mataura,NZ,2021-11-23 03:34:24,-46.1927,168.8643,61.97,47,83,6.46
34,Husavik,IS,2021-11-23 03:34:24,66.0449,-17.3389,40.91,82,20,7.67
35,Dingle,PH,2021-11-23 03:34:25,10.9995,122.6711,85.82,72,67,13.2
36,Grand Gaube,MU,2021-11-23 03:34:25,-20.0064,57.6608,77.38,62,3,1.99
37,Mount Darwin,ZW,2021-11-23 03:34:26,-16.7725,31.5838,70.05,82,24,1.83
38,Atuona,PF,2021-11-23 03:34:26,-9.8,-139.0333,77.74,75,100,9.1
39,Hilo,US,2021-11-23 03:34:26,19.7297,-155.09,73.13,96,90,4.61
40,Punta Arenas,CL,2021-11-23 03:34:27,-53.15,-70.9167,39.31,65,75,2.3
41,Ostrovnoy,RU,2021-11-23 03:34:27,68.0531,39.5131,20.55,93,46,7.58
42,Palana,RU,2021-11-23 03:34:27,59.1167,159.9667,20.77,70,58,10.09
43,Port Alfred,ZA,2021-11-23 03:34:28,-33.5906,26.891,64.56,83,100,23.22
44,Khatanga,RU,2021-11-23 03:34:28,71.9667,102.5,-2.15,79,99,22.82
45,Tilichiki,RU,2021-11-23 03:34:29,60.4667,166.1,3.0,87,100,9.6
46,Carnarvon,AU,2021-11-23 03:34:29,-24.8667,113.6333,77.07,53,0,19.57
47,Horni Briza,CZ,2021-11-23 03:34:29,49.8401,13.3556,31.91,92,0,1.14
48,Ulladulla,AU,2021-11-23 03:34:30,-35.35,150.4667,72.77,70,100,9.8
49,Lebu,CL,2021-11-23 03:32:58,-37.6167,-73.65,53.83,87,0,19.69
50,Strezhevoy,RU,2021-11-23 03:35:30,60.7333,77.5889,22.98,90,100,13.33
51,Mahebourg,MU,2021-11-23 03:35:31,-20.4081,57.7,77.25,88,40,6.91
52,San Cristobal,VE,2021-11-23 03:35:31,7.7669,-72.225,69.98,98,58,1.43
53,Hay River,CA,2021-11-23 03:31:37,60.8156,-115.7999,13.98,85,90,14.97
54,Lokomotivnyy,RU,2021-11-23 03:35:31,53.0118,60.5684,20.52,84,37,15.48
55,Chigorodo,CO,2021-11-23 03:35:32,7.6664,-76.6811,73.87,99,100,3.0
56,Jamestown,US,2021-11-23 03:35:32,42.097,-79.2353,33.39,67,90,4.0
57,Alta Floresta,BR,2021-11-23 03:35:33,-9.8756,-56.0861,70.57,97,99,2.39
58,Tungor,RU,2021-11-23 03:35:33,53.3808,142.9564,33.82,84,100,31.0
59,Chuy,UY,2021-11-23 03:34:03,-33.6971,-53.4616,63.55,67,8,16.58
60,Gorom-Gorom,BF,2021-11-23 03:35:34,14.4439,-0.2361,75.81,14,1,9.64
61,Vestmannaeyjar,IS,2021-11-23 03:35:34,63.4427,-20.2734,42.42,80,100,13.82
62,Barrow,US,2021-11-23 03:33:31,71.2906,-156.7887,-5.78,77,40,5.75
63,Nanortalik,GL,2021-11-23 03:31:29,60.1432,-45.2371,20.86,74,5,13.98
64,Severnoye,RU,2021-11-23 03:35:35,56.3491,78.3619,28.92,97,100,11.81
65,Tiksi,RU,2021-11-23 03:35:35,71.6872,128.8694,-21.98,97,51,7.7
66,Kloulklubed,PW,2021-11-23 03:35:35,7.0419,134.2556,88.3,77,89,12.88
67,Salalah,OM,2021-11-23 03:35:36,17.0151,54.0924,80.69,18,0,10.36
68,Arman,RU,2021-11-23 03:35:36,59.7,150.1667,9.99,77,8,11.5
69,Hasaki,JP,2021-11-23 03:34:32,35.7333,140.8333,59.4,74,100,15.1
70,Bengkulu,ID,2021-11-23 03:35:37,-3.8004,102.2655,83.35,65,90,4.45
71,Salamiyah,SY,2021-11-23 03:35:37,35.0113,37.0532,52.83,71,0,1.41
72,Morehead,US,2021-11-23 03:35:37,37.2711,-87.1764,27.99,92,1,0.0
73,Rantepao,ID,2021-11-23 03:35:38,-2.9701,119.8978,82.65,65,22,3.29
74,Mineros,BO,2021-11-23 03:35:38,-17.1167,-63.2333,80.19,77,100,2.68
75,Bredasdorp,ZA,2021-11-23 03:35:39,-34.5322,20.0403,51.28,77,22,3.24
76,Garachine,PA,2021-11-23 03:35:39,8.0647,-78.3628,77.43,88,100,4.74
77,Mindyak,RU,2021-11-23 03:35:39,54.0231,58.7891,17.33,85,58,16.96
78,Arraial Do Cabo,BR,2021-11-23 03:31:00,-22.9661,-42.0278,69.39,75,5,14.99
79,Haines Junction,CA,2021-11-23 03:35:40,60.7522,-137.5108,3.15,66,100,6.91
80,Bluff,NZ,2021-11-23 03:35:40,-46.6,168.3333,56.39,70,38,12.53
81,Foumban,CM,2021-11-23 03:35:41,5.7291,10.9001,64.62,80,77,2.59
82,Chokurdakh,RU,2021-11-23 03:35:41,70.6333,147.9167,-12.5,99,100,5.48
83,Faanui,PF,2021-11-23 03:35:42,-16.4833,-151.75,81.34,74,100,8.84
84,Srednekolymsk,RU,2021-11-23 03:35:42,67.45,153.6833,-30.95,99,60,4.97
85,Sitka,US,2021-11-23 03:35:42,57.0531,-135.33,37.29,87,90,4.61
86,Georgetown,MY,2021-11-23 03:31:00,5.4112,100.3354,85.93,84,20,0.0
87,Egvekinot,RU,2021-11-23 03:35:43,66.3167,-179.1667,-5.3,71,21,10.0
88,Tasiilaq,GL,2021-11-23 03:35:43,65.6145,-37.6368,26.76,63,97,7.81
89,Ilulissat,GL,2021-11-23 03:35:44,69.2167,-51.1,17.62,62,87,14.97
90,Airai,TL,2021-11-23 03:34:06,-8.9266,125.4092,77.95,48,86,2.28
91,Bukachacha,RU,2021-11-23 03:35:44,52.9833,116.9167,7.14,55,2,4.81
92,Puerto Ayora,EC,2021-11-23 03:35:45,-0.7393,-90.3518,68.02,75,28,6.6
93,Talladega,US,2021-11-23 03:35:45,33.4359,-86.1058,44.87,50,1,4.61
94,Esperance,AU,2021-11-23 03:36:45,-33.8667,121.9,62.44,67,83,16.91
95,Sainte-Marie,RE,2021-11-23 03:36:46,-20.8968,55.5496,83.05,70,0,11.5
96,San Patricio,US,2021-11-23 03:36:46,28.017,-97.5169,66.83,49,100,6.91
97,East London,ZA,2021-11-23 03:36:47,-33.0153,27.9116,65.52,86,100,18.52
98,Adrar,MR,2021-11-23 03:36:47,20.5022,-10.0711,73.8,45,100,9.19
99,Acobamba,PE,2021-11-23 03:36:47,-11.3525,-75.6594,54.63,79,100,1.12
100,Tuktoyaktuk,CA,2021-11-23 03:36:48,69.4541,-133.0374,-5.8,77,40,10.36
101,Guadalupe Y Calvo,MX,2021-11-23 03:36:48,26.1,-106.9667,48.15,69,95,4.76
102,Panjakent,TJ,2021-11-23 03:36:49,39.4952,67.6093,46.2,33,15,6.29
103,Pontianak,ID,2021-11-23 03:36:49,-0.0333,109.3333,84.18,79,40,5.75
104,Holoby,UA,2021-11-23 03:36:50,51.0865,25.0077,34.05,93,55,6.89
105,Kalevala,RU,2021-11-23 03:36:50,65.2,31.1667,16.43,86,63,6.71
106,Katsuura,JP,2021-11-23 03:36:51,35.1333,140.3,60.84,74,87,4.7
107,Grindavik,IS,2021-11-23 03:36:51,63.8424,-22.4338,39.67,81,75,12.66
108,Longyearbyen,SJ,2021-11-23 03:36:51,78.2186,15.6401,1.24,78,20,10.36
109,Itaguai,BR,2021-11-23 03:36:52,-22.8522,-43.7753,70.59,94,0,3.44
110,Hongjiang,CN,2021-11-23 03:36:52,27.11,109.9956,54.0,49,80,3.47
111,Provideniya,RU,2021-11-23 03:36:53,64.3833,-173.3,8.71,56,0,8.95
112,Cidreira,BR,2021-11-23 03:36:53,-30.1811,-50.2056,68.7,79,9,8.39
113,Campbell River,CA,2021-11-23 03:36:54,50.0163,-125.2446,45.93,100,90,3.44
114,Hermanus,ZA,2021-11-23 03:36:54,-34.4187,19.2345,51.8,80,12,8.19
115,Olafsvik,IS,2021-11-23 03:36:54,64.8945,-23.7142,40.42,61,68,16.69
116,Beira,MZ,2021-11-23 03:36:55,-19.8436,34.8389,77.09,94,75,5.75
117,Dahra,DZ,2021-11-23 03:36:55,36.2546,0.8519,45.79,70,0,6.08
118,Vila Nova De Milfontes,PT,2021-11-23 03:36:56,37.7238,-8.7828,53.26,72,63,6.69
119,Vardo,NO,2021-11-23 03:36:56,70.3705,31.1107,19.6,48,100,17.98
120,Shelburne,CA,2021-11-23 03:36:57,44.0787,-80.2041,26.85,96,45,10.83
121,Sharan,RU,2021-11-23 03:36:57,54.8167,54.0,19.78,92,100,15.19
122,Dabat,ET,2021-11-23 03:36:58,12.9842,37.765,52.83,63,38,5.26
123,Yarmouth,US,2021-11-23 03:34:47,41.7057,-70.2286,45.0,67,90,14.97
124,Ligayan,PH,2021-11-23 03:36:59,4.6533,119.4706,82.92,76,92,5.99
125,Nizhniy Kuranakh,RU,2021-11-23 03:36:59,58.8353,125.4869,-5.15,87,100,5.01
126,San Jose,US,2021-11-23 03:32:24,37.3394,-121.895,61.86,68,1,5.75
127,Kindu,CD,2021-11-23 03:37:00,-2.95,25.95,68.58,99,100,1.05
128,Norsup,VU,2021-11-23 03:37:00,-16.0667,167.3833,84.83,71,96,6.49
129,Goure,NE,2021-11-23 03:37:01,13.9835,10.2704,78.03,21,1,7.96
130,San Carlos Del Zulia,VE,2021-11-23 03:37:04,9.0,-71.9135,73.92,97,77,6.58
131,Huarmey,PE,2021-11-23 03:37:04,-10.0681,-78.1522,65.89,83,97,6.85
132,Dogondoutchi,NE,2021-11-23 03:37:05,13.6393,4.0287,77.34,20,0,8.23
133,Hofn,IS,2021-11-23 03:37:05,64.2539,-15.2082,43.0,68,100,6.24
134,Port Hedland,AU,2021-11-23 03:37:05,-20.3167,118.5667,91.45,46,64,13.8
135,Nizhniy Ingash,RU,2021-11-23 03:38:06,56.2,96.53,31.39,66,76,11.01
136,Imbituba,BR,2021-11-23 03:37:53,-28.24,-48.6703,71.82,88,0,10.51
137,Charyshskoye,RU,2021-11-23 03:38:07,51.3978,83.5598,34.05,77,100,19.86
138,Rabak,SD,2021-11-23 03:38:07,13.1809,32.74,70.77,26,11,9.69
139,Saskylakh,RU,2021-11-23 03:38:07,71.9167,114.0833,-24.77,98,11,8.68
140,Avarua,CK,2021-11-23 03:38:08,-21.2078,-159.775,77.05,78,90,6.91
141,Phalaborwa,ZA,2021-11-23 03:38:08,-23.943,31.1411,69.08,93,95,3.76
142,Ambanja,MG,2021-11-23 03:38:08,-13.6833,48.45,73.33,81,71,2.1
143,Kangaba,ML,2021-11-23 03:38:09,11.9333,-8.4167,70.03,27,65,3.58
144,Pevek,RU,2021-11-23 03:38:09,69.7008,170.3133,-18.42,96,17,1.99
145,Djambala,CG,2021-11-23 03:38:10,-2.5447,14.7533,65.55,97,98,3.06
146,Caravelas,BR,2021-11-23 03:38:10,-17.7125,-39.2481,69.62,87,100,3.85
147,Kenai,US,2021-11-23 03:38:10,60.5544,-151.2583,9.14,81,90,5.75
148,Narsaq,GL,2021-11-23 03:38:11,60.9167,-46.05,23.22,73,2,7.23
149,Vanderhoof,CA,2021-11-23 03:38:11,54.0166,-124.0198,29.98,77,3,5.08
150,Pinawa,CA,2021-11-23 03:38:12,50.1489,-95.8811,12.42,88,75,6.53
151,Richards Bay,ZA,2021-11-23 03:38:12,-28.783,32.0377,69.21,89,100,10.76
152,Ribeira Grande,PT,2021-11-23 03:38:12,38.5167,-28.7,65.91,86,20,18.54
153,Portland,US,2021-11-23 03:37:25,45.5234,-122.6762,46.38,90,90,4.0
154,Coahuayana,MX,2021-11-23 03:38:13,18.7333,-103.6833,80.08,91,80,3.18
155,Lagoa,PT,2021-11-23 03:38:13,39.05,-27.9833,64.83,86,37,18.68
156,Mount Isa,AU,2021-11-23 03:38:14,-20.7333,139.5,92.97,20,40,10.36
157,Te Anau,NZ,2021-11-23 03:38:14,-45.4167,167.7167,63.21,48,11,5.46
158,Constitucion,CL,2021-11-23 03:38:15,-35.3333,-72.4167,60.71,57,0,8.19
159,Fomboni,KM,2021-11-23 03:38:15,-12.28,43.7425,80.8,74,28,16.75
160,Kavieng,PG,2021-11-23 03:38:15,-2.5744,150.7967,83.8,77,58,12.86
161,Baglan,AF,2021-11-23 03:38:16,36.1307,68.7083,57.78,23,55,1.74
162,Mollendo,PE,2021-11-23 03:35:34,-17.0231,-72.0147,65.34,84,96,4.5
163,Baturaja,ID,2021-11-23 03:38:16,-4.1333,104.1667,85.87,65,100,1.14
164,Upernavik,GL,2021-11-23 03:38:17,72.7868,-56.1549,2.28,87,8,6.26
165,Kruisfontein,ZA,2021-11-23 03:34:15,-34.0033,24.7314,58.89,80,100,10.67
166,Kropotkin,RU,2021-11-23 03:38:17,45.4375,40.5756,44.26,86,36,6.67
167,Half Moon Bay,US,2021-11-23 03:38:18,37.4636,-122.4286,61.77,68,1,0.0
168,Tommot,RU,2021-11-23 03:38:18,58.9564,126.2925,-3.66,81,100,6.15
169,Nemuro,JP,2021-11-23 03:38:18,43.3236,145.575,46.83,56,9,20.42
170,Ancud,CL,2021-11-23 03:38:19,-41.8697,-73.8203,49.53,92,34,4.72
171,Leningradskiy,RU,2021-11-23 03:38:19,69.3833,178.4167,-15.54,89,27,4.36
172,Coquimbo,CL,2021-11-23 03:38:19,-29.9533,-71.3436,58.73,82,90,3.44
173,Winton,US,2021-11-23 03:38:20,37.3894,-120.6133,62.51,92,1,0.0
174,Petatlan,MX,2021-11-23 03:38:20,17.5167,-101.2667,84.0,92,2,3.74
175,Puerto Baquerizo Moreno,EC,2021-11-23 03:38:21,-0.9,-89.6,68.52,74,89,8.81
176,Bambous Virieux,MU,2021-11-23 03:38:21,-20.3428,57.7575,77.22,88,40,6.91
177,Grand-Santi,GF,2021-11-23 03:38:21,4.25,-54.3833,71.62,99,64,2.19
178,Krasnoselkup,RU,2021-11-23 03:38:22,65.7,82.4667,20.5,95,98,14.92
179,Biloela,AU,2021-11-23 03:38:22,-24.4167,150.5,80.15,58,66,12.55
180,Ghanzi,BW,2021-11-23 03:39:23,-21.5667,21.7833,66.18,21,84,7.92
181,Muros,ES,2021-11-23 03:39:23,42.7762,-9.0603,55.83,78,60,17.85
182,Bela,IN,2021-11-23 03:39:24,25.9333,81.9833,71.74,24,0,4.88
183,Hithadhoo,MV,2021-11-23 03:39:24,-0.6,73.0833,81.12,79,100,17.96
184,Dikson,RU,2021-11-23 03:39:24,73.5069,80.5464,-10.14,97,100,17.74
185,Sesheke,ZM,2021-11-23 03:39:25,-17.4759,24.2968,69.46,77,100,4.45
186,Tura,IN,2021-11-23 03:39:25,25.5198,90.2201,75.16,48,0,1.88
187,Nouakchott,MR,2021-11-23 03:39:26,18.0858,-15.9785,75.13,50,57,12.97
188,Nishihara,JP,2021-11-23 03:39:26,26.1842,127.7558,67.68,61,90,13.8
189,Riorges,FR,2021-11-23 03:39:26,46.0418,4.0497,42.26,81,100,5.08
190,Camacha,PT,2021-11-23 03:39:27,33.0833,-16.3333,65.62,77,20,9.22
191,Pangkalanbuun,ID,2021-11-23 03:39:27,-2.6833,111.6167,89.4,62,89,2.42
192,Naze,JP,2021-11-23 03:39:28,28.3667,129.4833,61.72,64,90,14.85
193,Inhambane,MZ,2021-11-23 03:39:28,-23.865,35.3833,75.18,94,75,6.91
194,Ketchikan,US,2021-11-23 03:39:28,55.3422,-131.6461,39.18,93,90,3.44
195,Ballina,AU,2021-11-23 03:39:29,-28.8667,153.5667,78.84,76,75,12.66
196,Sidney,AU,2021-11-23 03:36:42,-33.8679,151.2073,72.61,84,75,3.0
197,Amapa,BR,2021-11-23 03:39:29,1.0,-52.0,71.08,99,37,1.77
198,Yagoua,CM,2021-11-23 03:39:30,10.3411,15.2329,72.82,29,35,3.87
199,Mar Del Plata,AR,2021-11-23 03:39:11,-38.0023,-57.5575,57.09,69,0,5.01
200,Paris,FR,2021-11-23 03:34:50,48.8534,2.3488,37.18,84,0,4.0
201,Oistins,BB,2021-11-23 03:36:40,13.0667,-59.5333,78.89,78,40,13.8
202,Weiser,US,2021-11-23 03:39:31,44.251,-116.9693,34.0,87,0,3.65
203,Payo,ID,2021-11-23 03:39:31,-3.7508,103.6372,87.08,61,100,2.39
204,Taoudenni,ML,2021-11-23 03:39:31,22.6783,-3.9836,77.99,39,100,8.12
205,Torbay,CA,2021-11-23 03:39:32,47.6666,-52.7314,38.26,84,40,13.8
206,San Ramon,US,2021-11-23 03:39:32,37.7799,-121.978,59.76,81,1,0.0
207,Bay Roberts,CA,2021-11-23 03:39:32,47.5999,-53.2648,39.02,75,88,12.33
208,Luderitz,NA,2021-11-23 03:39:33,-26.6481,15.1594,59.23,86,29,12.68
209,Fairbanks,US,2021-11-23 03:35:27,64.8378,-147.7164,1.6,63,90,1.01
210,Abnub,EG,2021-11-23 03:39:33,27.2696,31.1511,52.02,66,0,3.78
211,Babeni,RO,2021-11-23 03:39:34,44.9667,24.2333,45.61,70,100,2.04
212,Rosarito,MX,2021-11-23 03:38:59,32.3333,-117.0333,71.4,41,90,1.43
213,Olga,RU,2021-11-23 03:39:34,43.7444,135.2892,25.02,48,53,15.68
214,Necochea,AR,2021-11-23 03:39:35,-38.5473,-58.7368,52.03,65,1,14.29
215,Seymour,US,2021-11-23 03:39:35,38.9592,-85.8903,29.93,76,0,4.9
216,Beloha,MG,2021-11-23 03:39:36,-25.1667,45.05,73.89,74,59,6.02
217,Pisco,PE,2021-11-23 03:34:48,-13.7,-76.2167,65.01,88,90,11.5
218,Lebane,RS,2021-11-23 03:39:36,42.9239,21.7375,49.71,95,100,5.08
219,Mount Gambier,AU,2021-11-23 03:39:36,-37.8333,140.7667,64.31,82,75,17.27
220,Kondratovo,RU,2021-11-23 03:39:37,57.9804,56.1066,25.09,80,75,15.66
221,Bathsheba,BB,2021-11-23 03:39:37,13.2167,-59.5167,79.41,78,40,13.8
222,Maraba,BR,2021-11-23 03:39:38,-5.3686,-49.1178,73.33,92,82,1.16
223,Gornyak,RU,2021-11-23 03:39:38,50.9942,81.4661,32.86,92,100,23.17
224,Hami,CN,2021-11-23 03:40:39,42.8,93.45,30.47,44,62,4.03
225,Male,MV,2021-11-23 03:38:30,4.1748,73.5089,84.15,74,75,12.66
226,Qaanaaq,GL,2021-11-23 03:40:39,77.484,-69.3632,-7.44,87,97,6.42
227,Quatre Cocos,MU,2021-11-23 03:40:40,-20.2078,57.7625,78.1,67,2,8.84
228,Mangai,CD,2021-11-23 03:40:40,-4.05,19.5333,68.5,98,95,1.23
229,Saint-Philippe,RE,2021-11-23 03:37:55,-21.3585,55.7679,82.47,67,28,8.21
230,Aden,YE,2021-11-23 03:40:41,12.7794,45.0367,78.75,69,61,4.65
231,Maceio,BR,2021-11-23 03:40:41,-9.6658,-35.7353,76.44,88,40,3.44
232,Vagur,FO,2021-11-23 03:40:42,61.4732,-6.8119,48.43,80,100,31.18
233,Aswan,EG,2021-11-23 03:40:42,24.0934,32.907,58.3,58,0,8.05
234,Mentor,US,2021-11-23 03:36:47,41.6662,-81.3395,37.0,52,90,3.0
235,Marathon,US,2021-11-23 03:40:42,44.9,-89.7668,25.2,66,20,5.75
236,Sioux Lookout,CA,2021-11-23 03:40:43,50.1001,-91.917,14.07,85,40,3.44
237,Abashiri,JP,2021-11-23 03:40:43,44.0213,144.2697,46.69,34,20,11.5
238,Alofi,NU,2021-11-23 03:40:44,-19.0595,-169.9187,84.09,61,75,9.22
239,Sept-Iles,CA,2021-11-23 03:40:44,50.2001,-66.3821,36.05,77,90,10.0
240,Thunder Bay,CA,2021-11-23 03:40:44,48.4001,-89.3168,18.55,73,1,4.61
241,Miri,MY,2021-11-23 03:40:45,4.4148,114.0089,80.74,94,40,3.44
242,Kontagora,NG,2021-11-23 03:40:45,10.3999,5.4695,74.08,35,43,2.91
