City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Neiafu,TO,84.88,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
6,Avarua,CK,82.45,light rain,-21.2078,-159.775,Paradise Inn
7,Butaritari,KI,82.74,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
8,Vaini,TO,86.16,light rain,-21.2,-175.2,Keleti Beach Resort
18,Kavaratti,IN,81.99,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
19,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
31,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
32,Faanui,PF,82.11,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
41,Morant Bay,JM,80.65,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
61,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
63,Quezon,PH,82.96,overcast clouds,7.7303,125.0989,LIBRE INN
64,Camocim,BR,80.47,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
71,Vaitape,PF,82.11,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
82,Bengkulu,ID,84.02,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
84,Ugoofaaru,MV,81.25,overcast clouds,5.6667,73.0,Ungoofaaru Inn
94,Nabire,ID,83.71,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
105,Emerald,AU,84.34,broken clouds,-23.5333,148.1667,The Irish Village
108,Dingle,PH,84.51,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
109,Hithadhoo,MV,81.3,overcast clouds,-0.6,73.0833,Scoop Guest House
111,Kwinana,AU,84.81,scattered clouds,-32.25,115.7667,Rockingham Apartments
128,Sola,VU,81.82,clear sky,-13.8833,167.55,Leumerus Bungalows
129,Port-Gentil,GA,81.05,overcast clouds,-0.7193,8.7815,Fengshui Residence
132,Itarema,BR,80.62,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
133,Sabang,ID,81.48,light rain,5.8933,95.3214,Hotel Citra
143,Namatanai,PG,86.14,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
159,Palu,ID,88.25,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
163,Honiara,SB,82.96,overcast clouds,-9.4333,159.95,Heritage Park Hotel
172,Beaufort,MY,84.36,overcast clouds,5.3473,115.7455,The Gem Hotel Beaufort
178,Manado,ID,83.17,scattered clouds,1.487,124.8455,Aryaduta Hotel
189,Sorong,ID,84.29,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
195,Mount Isa,AU,82.17,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
196,Kavieng,PG,84.69,broken clouds,-2.5744,150.7967,Nusa Island Retreat
201,Rio Claro,BR,82.53,overcast clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
204,Katobu,ID,86.99,overcast clouds,-4.9408,122.5276,La Ode Husein
210,Tautira,PF,87.82,clear sky,-17.7333,-149.15,Pension Oaoa
216,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
219,Port Maria,JM,81.01,scattered clouds,18.3685,-76.8895,Galina Breeze Hotel
