City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,49.87,91,100,10.6,light rain
1,Torbay,CA,47.6666,-52.7314,52.75,99,90,21.85,light rain
2,Rikitea,PF,-23.1203,-134.9692,76.87,72,8,10.4,clear sky
3,Tasiilaq,GL,65.6145,-37.6368,26.76,56,100,8.75,overcast clouds
4,Neiafu,TO,-18.65,-173.9833,84.88,70,75,6.91,broken clouds
5,Ushuaia,AR,-54.8,-68.3,42.46,65,20,25.32,few clouds
6,Avarua,CK,-21.2078,-159.775,82.45,78,45,9.22,light rain
7,Butaritari,KI,3.0707,172.7902,82.74,70,100,16.62,overcast clouds
8,Vaini,TO,-21.2,-175.2,86.16,84,75,8.05,light rain
9,Jamestown,US,42.097,-79.2353,44.19,70,90,5.99,mist
10,Rapar,IN,23.5667,70.6333,72.43,41,0,2.55,clear sky
11,Puerto Ayora,EC,-0.7393,-90.3518,70.56,88,64,7.0,broken clouds
12,Pangnirtung,CA,66.1451,-65.7125,22.6,91,100,5.48,light snow
13,Malumfashi,NG,11.7853,7.6218,68.77,27,1,7.31,clear sky
14,Nishihara,JP,26.1842,127.7558,73.06,56,40,10.36,scattered clouds
15,East London,ZA,-33.0153,27.9116,62.76,81,100,15.26,overcast clouds
16,Barrow,US,71.2906,-156.7887,-9.38,77,75,11.5,haze
17,Albany,US,42.6001,-73.9662,41.61,82,100,1.41,light rain
18,Kavaratti,IN,10.5669,72.642,81.99,72,100,1.83,overcast clouds
19,Kapaa,US,22.0752,-159.319,84.18,72,20,1.99,light rain
20,Bialystok,PL,53.1333,23.15,38.19,77,100,11.7,overcast clouds
21,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,88,20,11.5,few clouds
22,Valleyview,CA,55.0667,-117.2859,37.44,75,100,12.66,overcast clouds
23,Saskylakh,RU,71.9167,114.0833,-15.48,99,24,8.52,few clouds
24,Namibe,AO,-15.1961,12.1522,66.13,72,79,6.71,broken clouds
25,Suntar,RU,62.1444,117.6319,-3.77,94,58,3.91,broken clouds
26,Xining,CN,36.6167,101.7667,30.97,33,0,2.44,clear sky
27,Cherskiy,RU,68.75,161.3,-30.41,100,100,4.43,overcast clouds
28,Bom Jardim,BR,-7.7958,-35.5872,73.04,89,74,3.89,broken clouds
29,New Norfolk,AU,-42.7826,147.0587,61.72,47,55,3.0,broken clouds
30,Khandyga,RU,62.6667,135.6,-17.99,81,25,1.3,scattered clouds
31,Kahului,US,20.8947,-156.47,83.46,72,40,20.71,scattered clouds
32,Faanui,PF,-16.4833,-151.75,82.11,72,11,15.39,few clouds
33,Mitsamiouli,KM,-11.3847,43.2844,79.54,77,94,4.74,overcast clouds
34,Tiksi,RU,71.6872,128.8694,2.39,80,100,5.57,overcast clouds
35,Beringovskiy,RU,63.05,179.3167,1.49,93,100,10.89,overcast clouds
36,Kathmandu,NP,27.7167,85.3167,50.22,93,75,2.3,mist
37,Upernavik,GL,72.7868,-56.1549,21.24,74,100,9.42,overcast clouds
38,Kindu,CD,-2.95,25.95,68.79,100,100,0.36,light rain
39,Pisco,PE,-13.7,-76.2167,64.45,88,0,13.8,clear sky
40,Sitka,US,57.0531,-135.33,35.49,93,90,8.05,light rain
41,Morant Bay,JM,17.8815,-76.4093,80.65,81,53,12.64,broken clouds
42,Port Alfred,ZA,-33.5906,26.891,63.54,77,93,22.79,overcast clouds
43,Cloquet,US,46.7216,-92.4594,15.39,51,3,2.8,clear sky
44,Harper,LR,4.375,-7.7169,79.38,84,81,7.63,broken clouds
45,Mataura,NZ,-46.1927,168.8643,56.93,77,100,6.67,light rain
46,Mwinilunga,ZM,-11.7358,24.4293,62.71,84,99,2.77,overcast clouds
47,Dikson,RU,73.5069,80.5464,-3.23,98,100,4.0,overcast clouds
48,Busselton,AU,-33.65,115.3333,77.7,42,54,6.35,broken clouds
49,Lukulu,ZM,-14.3707,23.242,68.23,69,100,3.58,overcast clouds
50,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,78,75,17.27,broken clouds
51,Bitlis,TR,38.5,42.25,34.74,98,100,5.64,light rain
52,Atuona,PF,-9.8,-139.0333,78.57,79,7,17.98,clear sky
53,Punta Arenas,CL,-53.15,-70.9167,44.71,65,20,14.97,few clouds
54,Ribeira Grande,PT,38.5167,-28.7,62.83,69,17,23.33,few clouds
55,Arman,RU,59.7,150.1667,-1.98,75,13,9.51,few clouds
56,Hermanus,ZA,-34.4187,19.2345,62.8,78,4,27.47,clear sky
57,Saint George,US,37.1041,-113.5841,52.39,28,1,1.01,clear sky
58,Portland,US,45.5234,-122.6762,53.94,73,75,8.01,broken clouds
59,Cidreira,BR,-30.1811,-50.2056,69.31,97,100,7.45,overcast clouds
60,Yar-Sale,RU,66.8333,70.8333,1.35,91,99,6.76,overcast clouds
61,Georgetown,MY,5.4112,100.3354,81.9,86,20,1.01,few clouds
62,Bayshore Gardens,US,27.4253,-82.5904,68.14,65,40,6.91,scattered clouds
63,Quezon,PH,7.7303,125.0989,82.96,71,100,1.45,overcast clouds
64,Camocim,BR,-2.9022,-40.8411,80.47,76,77,13.53,broken clouds
65,Provideniya,RU,64.3833,-173.3,3.31,60,0,8.95,clear sky
66,Broken Hill,AU,-31.95,141.4333,60.51,72,75,27.63,broken clouds
67,Smithers,CA,54.7804,-127.1743,37.72,100,75,2.3,light rain
68,Asau,RO,46.4333,26.4,35.76,69,1,5.77,clear sky
69,Jemnice,CZ,49.019,15.5699,34.45,88,100,3.44,overcast clouds
70,Port Elizabeth,ZA,-33.918,25.5701,64.09,80,95,22.75,overcast clouds
71,Vaitape,PF,-16.5167,-151.75,82.11,72,8,15.26,clear sky
72,Shache,CN,38.4167,77.2406,30.54,42,13,3.18,few clouds
73,Fairbanks,US,64.8378,-147.7164,-0.44,68,40,0.0,light snow
74,Esperance,AU,-33.8667,121.9,66.04,56,0,8.03,clear sky
75,Eregli,TR,37.5133,34.0467,41.85,86,4,1.95,clear sky
76,Vostok,RU,46.4856,135.8833,13.15,92,100,4.32,light snow
