City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Alta Floresta,BR,2021-11-22 13:48:01,-9.8756,-56.0861,84.02,74,75,4.61
1,Cape Town,ZA,2021-11-22 13:47:55,-33.9258,18.4232,79.11,50,20,29.93
2,Hermanus,ZA,2021-11-22 13:48:02,-34.4187,19.2345,64.29,82,100,13.91
3,Vila Franca Do Campo,PT,2021-11-22 13:48:02,37.7167,-25.4333,70.2,85,94,13.18
4,Omboue,GA,2021-11-22 13:48:02,-1.5746,9.2618,82.99,75,100,9.89
5,Port Alfred,ZA,2021-11-22 13:48:02,-33.5906,26.891,73.02,81,54,11.95
6,Albany,US,2021-11-22 13:43:35,42.6001,-73.9662,46.09,84,94,3.0
7,Kapaa,US,2021-11-22 13:48:03,22.0752,-159.319,75.52,80,75,12.66
8,Ambovombe,MG,2021-11-22 13:48:03,-25.1667,46.0833,71.44,78,93,20.92
9,Kodiak,US,2021-11-22 13:48:04,57.79,-152.4072,24.31,46,1,11.5
10,Bandarbeyla,SO,2021-11-22 13:48:04,9.4942,50.8122,79.18,67,100,15.79
11,Mantua,IT,2021-11-22 13:48:04,45.1667,10.7833,55.74,89,100,3.0
12,Sabang,ID,2021-11-22 13:48:05,5.8933,95.3214,81.54,76,100,6.8
13,Klaksvik,FO,2021-11-22 13:48:05,62.2266,-6.589,47.32,84,94,26.51
14,Avarua,CK,2021-11-22 13:48:05,-21.2078,-159.775,69.85,94,97,2.3
15,Rikitea,PF,2021-11-22 13:48:06,-23.1203,-134.9692,74.14,72,94,8.88
16,Severo-Kurilsk,RU,2021-11-22 13:48:06,50.6789,156.125,35.8,84,15,7.52
17,Bluff,NZ,2021-11-22 13:48:07,-46.6,168.3333,51.06,65,100,8.61
18,Isangel,VU,2021-11-22 13:48:07,-19.55,169.2667,77.74,85,2,1.3
19,Portland,US,2021-11-22 13:46:14,45.5234,-122.6762,38.17,95,75,5.99
20,Busselton,AU,2021-11-22 13:48:07,-33.65,115.3333,55.04,74,23,9.98
21,Iqaluit,CA,2021-11-22 13:48:08,63.7506,-68.5145,24.53,80,90,11.5
22,Nikolskoye,RU,2021-11-22 13:48:08,59.7035,30.7861,29.01,75,50,5.1
23,Dikson,RU,2021-11-22 13:48:09,73.5069,80.5464,-16.65,85,99,14.54
24,Padang,ID,2021-11-22 13:48:09,-0.9492,100.3543,78.85,82,91,2.62
25,Ponta Delgada,PT,2021-11-22 13:46:23,37.7333,-25.6667,70.5,88,75,18.41
26,Butaritari,KI,2021-11-22 13:48:10,3.0707,172.7902,80.38,81,9,9.66
27,Faanui,PF,2021-11-22 13:48:10,-16.4833,-151.75,78.46,81,16,5.39
28,Westport,US,2021-11-22 13:48:10,41.1415,-73.3579,50.32,94,90,5.99
29,Manta,EC,2021-11-22 13:48:11,-0.95,-80.7333,71.38,88,90,5.75
30,Dondo,MZ,2021-11-22 13:48:11,-19.6094,34.7431,83.71,54,90,11.05
